m1_surv,m2_surv
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86948
0.24509,0.86895
0.24509,0.86895
0.24509,0.86895
0.24509,0.86895
0.24509,0.86843
0.24509,0.86843
0.24509,0.8679
0.24509,0.8679
0.24509,0.86738
0.24509,0.86738
0.24509,0.86738
0.24509,0.86738
0.24509,0.86738
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86685
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86632
0.24509,0.86579
0.24509,0.86579
0.24509,0.86579
0.24509,0.86579
0.24509,0.86579
0.24509,0.86579
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86525
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86471
0.22824,0.86417
0.22824,0.86417
0.22824,0.86417
0.22824,0.86363
0.22824,0.86363
0.22824,0.86363
0.22824,0.86363
0.22824,0.86363
0.22824,0.86363
0.22824,0.86363
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.22824,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86199
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86144
0.21887,0.86087
0.21887,0.86087
0.21887,0.86031
0.21887,0.86031
0.21887,0.86031
0.21887,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
0.21646,0.86031
